"","Real Monthly Commodity Trade Weighted Exchange Rate Indexes","...2","...3","...4","...5","...6","...7","...8","...9","...10","...11","...12","...13","...14","...15","...16","...17","...18","...19","...20","...21","...22","...23","...24","...25","...26","...27","...28","...29","...30","...31","...32","...33","...34","...35","...36","...37","...38","...39","...40","...41","...42","...43","...44","...45","...46","...47","...48","...49","...50","...51","...52","...53","...54","...55","...56","...57","...58","...59","...60","...61","...62","...63","...64","...65","...66","...67","...68","...69","...70","...71","...72","...73","...74","...75","...76","...77","...78"
"344","9","1997","112.99771118164062","109.95195770263672","107.11335754394531","106.29611968994141","121.15283203125","110.04459381103516","106.12412261962891","111.94802856445312","98.040702819824219","114.03358459472656","136.25514221191406","113.38410186767578","108.41737365722656","109.30277252197266","99.890243530273438","110.67971038818359","106.64842224121094","107.530517578125","118.11049652099609","111.84602355957031","114.63153839111328","118.49392700195312","104.00152587890625","105.05783081054688","105.11360931396484","108.26863098144531","110.82389068603516",NA,"108.25872039794922","116.56444549560547","108.97247314453125","104.20883941650391","109.54203796386719","110.99181365966797","106.40561676025391","110.80970764160156","110.02788543701172","109.91887664794922","102.00740814208984","109.77122497558594","110.95204162597656","112.64849853515625","111.87701416015625","112.04603576660156","110.97948455810547","111.69284057617188","112.07059478759766","113.33845520019531","111.3367919921875","108.84280395507812","112.98916625976562","110.22759246826172","109.69512939453125",NA,"132.2740478515625","133.77754211425781","120.45963287353516","111.46372222900391","439.57101440429688","125.28231048583984","114.06444549560547","109.03681182861328","119.5408935546875","114.90372467041016","116.44233703613281","128.99177551269531","108.83464050292969","188.14300537109375","120.01058197021484","114.55801391601562","117.01107025146484","118.14054870605469","143.39924621582031","185.54248046875","122.48325347900391","105.11216735839844"
"345","10","1997","113.16509246826172","110.57798767089844","108.05055236816406","107.06053161621094","122.44891357421875","110.28917694091797","107.13991546630859","112.23098754882812","99.308792114257812","114.71736907958984","137.72271728515625","113.26860809326172","110.06706237792969","110.31103515625","100.45726013183594","111.13095092773438","105.91667175292969","109.13316345214844","118.69597625732422","112.64576721191406","115.22433471679688","118.888427734375","104.53871154785156","105.44783782958984","105.47071075439453","107.93077850341797","110.83306121826172",NA,"108.21927642822266","116.77371978759766","108.38816070556641","103.62457275390625","109.11571502685547","110.54380035400391","105.95089721679688","111.06929016113281","109.01515197753906","109.31655120849609","101.44839477539062","109.26880645751953","110.18482208251953","111.66683959960938","111.03750610351562","111.47618865966797","109.87290954589844","111.26888275146484","111.27603912353516","112.31254577636719","110.68238830566406","107.89658355712891","111.64511871337891","109.05275726318359","108.707275390625",NA,"133.44110107421875","138.23658752441406","122.66802215576172","124.45984649658203","449.84774780273438","126.61016082763672","115.48965454101562","112.75017547607422","119.54043579101562","115.17457580566406","120.44906616210938","129.08460998535156","107.9130859375","188.62638854980469","119.91793823242188","114.63798522949219","118.51467132568359","118.48091888427734","144.52706909179688","188.82077026367188","123.11109161376953","103.93506622314453"
"346","11","1997","114.82698059082031","112.70918273925781","110.06922149658203","111.46698760986328","123.78293609619141","112.76088714599609","107.97946929931641","111.91001129150391","101.22165679931641","116.71654510498047","139.61961364746094","114.46517181396484","112.50070190429688","112.65074157714844","103.20137023925781","113.63247680664062","106.44474792480469","111.64015197753906","121.30577087402344","115.16607666015625","118.02656555175781","121.28952789306641","108.46037292480469","108.9993896484375","107.34910583496094","108.68129730224609","112.34075164794922",NA,"108.66298675537109","116.44734954833984","107.80031585693359","103.21762084960938","108.33792114257812","110.14369201660156","105.64925384521484","110.43968200683594","108.33251953125","108.32887268066406","100.86170959472656","108.23187255859375","109.21253204345703","110.82346343994141","110.15760803222656","110.52759552001953","108.75911712646484","110.52619171142578","110.54779052734375","111.38722991943359","109.88846588134766","107.13962554931641","110.43466186523438","107.94586181640625","107.85327911376953",NA,"135.043701171875","138.59030151367188","123.27841949462891","122.29969024658203","444.1707763671875","128.22671508789062","116.43923950195312","113.63787078857422","122.29054260253906","118.52060699462891","120.04446411132812","131.10154724121094","108.41391754150391","192.53839111328125","123.30043792724609","116.64534759521484","119.56495666503906","121.08543395996094","145.692138671875","191.19114685058594","124.43276214599609","103.07038116455078"
"347","12","1997","117.31066131591797","116.13112640380859","113.79198455810547","117.80239105224609","128.84339904785156","114.80355072021484","110.491455078125","115.34928894042969","104.60771179199219","120.42528533935547","143.78509521484375","115.84563446044922","119.49715423583984","116.74497985839844","110.60655212402344","116.67589569091797","109.35100555419922","115.65771484375","124.01070404052734","119.14685821533203","120.65571594238281","124.24520111083984","113.51716613769531","112.34954833984375","108.04549407958984","110.32893371582031","115.49333190917969",NA,"112.39925384521484","120.42575836181641","110.65810394287109","105.59384918212891","111.32101440429688","113.75436401367188","107.948486328125","114.25747680664062","110.56493377685547","111.61487579345703","102.82897186279297","111.70491027832031","112.40511322021484","113.56123352050781","113.23546600341797","114.22309112548828","111.67430114746094","114.04259490966797","113.548583984375","114.42482757568359","113.16293334960938","109.50532531738281","112.91582489013672","110.3092041015625","110.4229736328125",NA,"138.89216613769531","148.54234313964844","125.18486022949219","156.26028442382812","471.89352416992188","128.75321960449219","119.98944854736328","120.25057983398438","122.36634826660156","117.41024017333984","128.64541625976562","132.71127319335938","109.90990447998047","193.77732849121094","121.96064758300781","117.83843231201172","123.17330169677734","123.81292724609375","150.85289001464844","202.86738586425781","126.50643920898438","104.43205261230469"
"348","1","1998","119.45876312255859","119.119873046875","117.52779388427734","120.37168884277344","135.50602722167969","115.55377197265625","114.49815368652344","120.33869934082031","108.70684051513672","124.13471984863281","149.29745483398438","116.84269714355469","127.11524200439453","121.44760894775391","114.18452453613281","118.82066345214844","110.95629119873047","121.10138702392578","126.17061614990234","122.56214904785156","122.55847930908203","126.2642822265625","115.83306121826172","113.49423217773438","108.63699340820312","111.92194366455078","117.53085327148438",NA,"115.75495910644531","125.73879241943359","113.94608306884766","108.23179626464844","115.07560729980469","117.79785919189453","110.39314270019531","119.84224700927734","112.79511260986328","115.73701477050781","104.8795166015625","116.20314025878906","116.27442169189453","116.46944427490234","116.81011962890625","118.90746307373047","114.91848754882812","118.44001770019531","117.00017547607422","117.81147003173828","117.13810729980469","111.87478637695312","115.51570892333984","112.85742950439453","113.22233581542969",NA,"144.75096130371094","167.56112670898438","129.79031372070312","242.06454467773438","523.5164794921875","130.44482421875","125.28002166748047","131.10867309570312","122.77130126953125","117.60839080810547","144.05337524414062","134.80374145507812","111.61994171142578","196.30204772949219","121.71472930908203","119.54637908935547","129.529052734375","124.86080169677734","158.34756469726562","220.28315734863281","129.35896301269531","106.63140869140625"
"349","2","1998","118.48952484130859","117.68727874755859","115.81308746337891","118.44918823242188","132.85685729980469","115.02413177490234","113.05767822265625","118.58563232421875","106.46376037597656","122.59622955322266","146.76693725585938","116.59962463378906","123.62994384765625","119.60124969482422","112.23716735839844","117.61702728271484","110.35810852050781","118.80363464355469","124.95372772216797","120.62759399414062","121.20258331298828","125.01572418212891","114.60706329345703","112.22183990478516","108.55686950683594","111.32948303222656","116.48688507080078",NA,"114.15949249267578","123.43196105957031","112.71492767333984","107.22191619873047","113.9256591796875","115.74562072753906","109.38533782958984","117.82013702392578","112.23092651367188","114.28107452392578","104.27358245849609","114.56204986572266","114.96337127685547","115.64521026611328","115.54904937744141","117.20027160644531","113.95574951171875","116.69228363037109","115.71066284179688","116.60518646240234","115.59907531738281","111.28015899658203","115.02294158935547","112.23340606689453","112.45818328857422",NA,"142.05245971679688","159.40695190429688","128.05596923828125","204.35821533203125","502.13662719726562","129.51774597167969","122.52689361572266","123.81901550292969","123.06149291992188","118.36668395996094","135.39796447753906","134.09979248046875","111.65390014648438","194.86943054199219","122.81795501708984","119.03599548339844","126.43557739257812","123.94575500488281","154.48837280273438","209.924560546875","128.17080688476562","106.77494049072266"
"350","3","1998","117.93048095703125","117.063232421875","115.34587097167969","117.53971099853516","132.05247497558594","114.71846008300781","113.05690765380859","118.78534698486328","105.50299835205078","121.78455352783203","145.54202270507812","116.26704406738281","122.72570037841797","118.38035583496094","110.10472869873047","116.8856201171875","110.43498992919922","117.89642333984375","123.75736236572266","119.67208862304688","120.38199615478516","123.92144775390625","113.41090393066406","112.11065673828125","108.00739288330078","110.66316223144531","115.97039794921875",NA,"113.88353729248047","123.36412048339844","112.837646484375","107.31076812744141","114.39286041259766","115.25028228759766","109.36696624755859","118.03728485107422","112.6103515625","114.59201049804688","104.68029022216797","114.86203002929688","115.27469635009766","115.98997497558594","115.69708251953125","117.38919067382812","114.33175659179688","116.70795440673828","115.80937957763672","116.69149017333984","115.58000946044922","111.68718719482422","115.43248748779297","112.55501556396484","112.76274108886719",NA,"141.21397399902344","158.30340576171875","127.97503662109375","202.42825317382812","503.814453125","128.79872131347656","121.9853515625","122.46009826660156","122.12411499023438","117.92564392089844","134.92861938476562","133.7218017578125","112.03429412841797","193.86788940429688","122.50584411621094","118.25782775878906","125.93801879882812","124.08475494384766","152.78297424316406","205.77362060546875","127.54196929931641","106.52565765380859"
"351","4","1998","117.54229736328125","116.29297637939453","114.03858947753906","116.77933502197266","129.14776611328125","114.31373596191406","111.79042816162109","117.31210327148438","104.06465911865234","120.45395660400391","143.68955993652344","115.94123840332031","120.25643157958984","116.42206573486328","108.63542938232422","116.71501159667969","109.92977905273438","115.93577575683594","123.83307647705078","119.33009338378906","121.01692199707031","124.40053558349609","112.59474182128906","112.41304779052734","107.57427978515625","110.76644134521484","115.97578430175781",NA,"113.00346374511719","121.89229583740234","111.97344207763672","106.66830444335938","113.27317047119141","114.15908813476562","108.93902587890625","116.16350555419922","112.19287872314453","113.44386291503906","104.19190979003906","113.59499359130859","114.15325927734375","115.40833282470703","114.73091888427734","115.98011016845703","113.53363037109375","115.47125244140625","114.91053009033203","115.73224639892578","114.4847412109375","111.29329681396484","114.76676177978516","111.88217926025391","112.10881805419922",NA,"139.61271667480469","151.05203247070312","125.42302703857422","171.0228271484375","478.72161865234375","128.34527587890625","121.10135650634766","121.05173492431641","122.54292297363281","117.27668762207031","130.31283569335938","133.26571655273438","111.59117126464844","192.53849792480469","121.80735778808594","117.91682434082031","124.15872192382812","126.21181488037109","150.93130493164062","200.73277282714844","127.69730377197266","105.50198364257812"
"352","5","1998","118.00743103027344","117.26833343505859","115.16477203369141","118.14483642578125","130.74513244628906","115.01523590087891","112.97524261474609","117.26504516601562","104.89011383056641","121.34400939941406","144.83885192871094","116.05564880371094","122.35580444335938","117.41624450683594","109.12564849853516","117.67897796630859","109.61285400390625","117.45580291748047","124.86183929443359","120.71426391601562","122.34689331054688","125.34700012207031","113.59947204589844","113.80438232421875","107.98203277587891","111.28276824951172","116.5950927734375",NA,"112.95954895019531","121.81568908691406","111.26134490966797","105.94507598876953","112.80755615234375","113.37747955322266","108.32328033447266","116.27082061767578","111.22269439697266","112.56199645996094","103.41257476806641","112.76934051513672","113.14720153808594","114.37509155273438","113.67009735107422","115.25182342529297","112.23088836669922","114.80847930908203","113.88923645019531","114.47764587402344","113.53730010986328","110.29644012451172","113.17064666748047","110.45475769042969","110.98902130126953",NA,"140.7353515625","155.34266662597656","126.85514831542969","190.11334228515625","482.85760498046875","128.73735046386719","121.67906188964844","122.73249053955078","123.14494323730469","117.52717590332031","132.11874389648438","133.59306335449219","110.75868988037109","193.05453491210938","122.02545166015625","118.24178314208984","124.90056610107422","128.27555847167969","152.26121520996094","203.81880187988281","128.75177001953125","104.91908264160156"
"353","6","1998","119.98209381103516","119.69692230224609","117.71678924560547","120.85251617431641","134.48600769042969","117.00558471679688","115.45744323730469","119.7431640625","106.77069091796875","123.95911407470703","147.967041015625","117.53446960449219","126.68753051757812","120.34226226806641","110.12322235107422","120.04806518554688","110.9736328125","121.09012603759766","127.11491394042969","123.55111694335938","124.965087890625","127.58116912841797","116.01599884033203","116.77384185791016","109.32540893554688","112.70571899414062","118.49080657958984",NA,"114.90646362304688","124.65852355957031","113.13376617431641","107.57622528076172","114.85898590087891","115.52047729492188","109.81940460205078","119.16029357910156","112.71251678466797","114.58335876464844","104.68533325195312","114.87639617919922","115.165283203125","116.11004638671875","115.55868530273438","117.62210845947266","113.94051361083984","117.05332946777344","115.77249145507812","116.28535461425781","115.56754302978516","111.84577941894531","114.53452301025391","111.79029083251953","112.56357574462891",NA,"144.54531860351562","164.46473693847656","129.20846557617188","230.494384765625","503.49734497070312","130.30735778808594","124.40399169921875","126.68972015380859","125.29034423828125","119.95783996582031","138.17510986328125","136.21946716308594","112.72503662109375","196.02032470703125","124.46933746337891","120.51317596435547","128.49368286132812","132.024658203125","156.28460693359375","212.24887084960938","130.93121337890625","106.08023834228516"
"354","7","1998","120.29368591308594","119.68478393554688","117.27734375","119.880859375","133.60354614257812","116.90219116210938","115.22731018066406","120.58646392822266","106.46726989746094","123.89466094970703","148.56991577148438","118.09248352050781","125.94223022460938","119.69983673095703","108.71041107177734","120.38161468505859","110.90182495117188","121.05403137207031","127.85788726806641","123.85771179199219","125.97183990478516","128.61299133300781","115.39678955078125","116.73731994628906","109.56951141357422","113.5545654296875","118.91167449951172",NA,"114.95858001708984","124.88856506347656","113.40695190429688","107.88571166992188","115.10334014892578","115.59503173828125","110.23089599609375","119.26250457763672","113.12833404541016","114.96157073974609","105.01255798339844","115.27233123779297","115.50041198730469","116.50736236572266","115.90258026123047","117.8367919921875","114.32109069824219","117.33544921875","116.15555572509766","116.58480072021484","115.9498291015625","112.18996429443359","115.03147125244141","112.29924774169922","112.96833801269531",NA,"144.78376770019531","163.57341003417969","128.76020812988281","222.36602783203125","507.57159423828125","131.89984130859375","125.47269439697266","128.96011352539062","126.44039154052734","120.18479919433594","139.61860656738281","136.39627075195312","112.78765869140625","196.057373046875","124.48001098632812","121.03849792480469","129.60935974121094","131.56343078613281","156.7117919921875","211.41934204101562","132.11749267578125","106.72927856445312"
"355","8","1998","122.09526824951172","121.14651489257812","117.80910491943359","122.06964874267578","132.36325073242188","118.88690948486328","114.90775299072266","120.2469482421875","107.24655914306641","125.13469696044922","150.11514282226562","119.48565673828125","126.10865020751953","120.52641296386719","109.59597015380859","122.83195495605469","111.6029052734375","122.23538208007812","130.80171203613281","126.13982391357422","129.19261169433594","131.76678466796875","118.00971984863281","119.83887481689453","111.86586761474609","115.55321502685547","120.74345397949219",NA,"115.58240509033203","124.72647094726562","113.41079711914062","108.0963134765625","114.65332794189453","115.60247802734375","110.62451171875","118.38491821289062","113.54542541503906","114.55558776855469","105.09398651123047","114.734619140625","115.18894195556641","116.66410064697266","115.77848815917969","117.26531982421875","114.21428680419922","117.09678649902344","116.07569122314453","116.46930694580078","115.78477478027344","112.54755401611328","115.08277893066406","112.38280487060547","113.07891082763672",NA,"145.87185668945312","159.62799072265625","128.66523742675781","194.109130859375","492.9442138671875","134.29194641113281","126.70973205566406","129.59825134277344","130.12371826171875","123.10017395019531","137.15957641601562","138.54301452636719","113.90422821044922","198.83567810058594","127.40351867675781","123.31557464599609","130.41590881347656","135.88897705078125","157.60926818847656","210.74856567382812","134.09779357910156","107.69580078125"
"356","9","1998","121.92561340332031","121.17010498046875","117.39449310302734","121.623291015625","131.3778076171875","118.9273681640625","114.29671478271484","119.11243438720703","107.02939605712891","125.45087432861328","150.83692932128906","119.18061828613281","124.50336456298828","121.71875762939453","110.29267883300781","123.67386627197266","110.01378631591797","123.80467224121094","131.25730895996094","125.58592224121094","127.90777587890625","131.13473510742188","120.75586700439453","121.19823455810547","120.69415283203125","114.30764770507812","119.18801879882812",NA,"114.40780639648438","121.65319061279297","110.213134765625","105.42739105224609","111.17525482177734","112.17720031738281","107.88167572021484","115.23940277099609","110.6837158203125","110.29935455322266","102.32849884033203","110.30527496337891","110.99710083007812","112.81714630126953","111.72370910644531","112.90000915527344","109.79282379150391","113.21549224853516","112.19948577880859","112.25429534912109","111.84531402587891","109.04587554931641","110.75865173339844","108.42427825927734","109.46610260009766",NA,"145.58676147460938","157.11253356933594","131.67877197265625","176.22853088378906","477.43914794921875","137.67146301269531","124.29188537597656","124.39446258544922","131.70880126953125","128.0523681640625","129.87181091308594","139.62246704101562","112.55874633789062","204.18830871582031","132.31727600097656","124.04998016357422","128.17271423339844","136.68405151367188","156.72639465332031","209.55546569824219","133.69869995117188","106.53191375732422"
"357","10","1998","119.98037719726562","118.39695739746094","113.948486328125","116.48284149169922","127.63771057128906","115.88662719726562","111.7142333984375","115.33002471923828","103.83309936523438","122.65945434570312","147.56307983398438","117.87521362304688","119.32035064697266","119.10243225097656","108.93617248535156","121.4951171875","108.00840759277344","120.39163208007812","130.29403686523438","123.24323272705078","125.87017059326172","130.05093383789062","117.66105651855469","116.43671417236328","120.83663940429688","112.99241638183594","116.91384887695312",NA,"111.45697784423828","118.10330963134766","107.29698181152344","102.91444396972656","108.00617218017578","109.03759002685547","105.81047058105469","111.63874816894531","107.99306488037109","106.88996887207031","100.2337646484375","106.80606079101562","107.516845703125","109.63806915283203","108.39823913574219","109.12229156494141","106.37933349609375","109.79618835449219","108.97074127197266","108.88411712646484","108.50267791748047","106.22142791748047","107.61476135253906","105.54512786865234","106.42804718017578",NA,"142.80917358398438","149.9696044921875","131.12326049804688","146.66705322265625","454.92669677734375","136.81317138671875","122.24840545654297","121.96279907226562","131.87355041503906","127.01064300537109","124.27425384521484","137.62437438964844","109.40190124511719","202.65823364257812","131.13421630859375","122.73743438720703","125.41584777832031","134.62210083007812","154.08448791503906","203.41526794433594","133.47050476074219","104.57457733154297"
"358","11","1998","119.47396087646484","117.28751373291016","112.69242858886719","114.75697326660156","126.26199340820312","114.62376403808594","110.97791290283203","115.25233459472656","101.99850463867188","121.30771636962891","144.47616577148438","117.63104248046875","117.61266326904297","117.29817199707031","108.06717681884766","120.36237335205078","108.61636352539062","117.88970947265625","129.08293151855469","122.08322143554688","124.85601806640625","129.374755859375","115.92002105712891","114.79171752929688","119.21811676025391","113.08526611328125","116.79038238525391",NA,"111.80521392822266","118.529296875","108.41673278808594","103.90583801269531","109.178955078125","109.96977233886719","106.8695068359375","112.13625335693359","109.40454864501953","108.41835021972656","101.52367401123047","108.36204528808594","109.02507019042969","111.13069152832031","109.84703826904297","110.46079254150391","108.137451171875","110.93402862548828","110.29792785644531","110.41945648193359","109.82170867919922","107.64922332763672","109.59083557128906","107.36139678955078","107.97983551025391",NA,"141.33927917480469","146.80545043945312","129.46687316894531","138.30435180664062","451.22390747070312","133.44635009765625","121.83418273925781","120.65805053710938","130.78184509277344","124.36698150634766","124.29534149169922","136.42259216308594","109.92381286621094","198.83192443847656","128.98844909667969","121.84401702880859","125.03964996337891","132.41763305664062","152.82691955566406","199.34956359863281","133.00335693359375","105.77822113037109"
"359","12","1998","118.70676422119141","116.287109375","111.41644287109375","112.27596282958984","125.57388305664062","113.09890747070312","110.31433868408203","114.58098602294922","100.65474700927734","120.14483642578125","143.12188720703125","116.97415924072266","116.07550811767578","115.75574493408203","106.63323974609375","119.63755798339844","108.35305023193359","116.47793579101562","128.52554321289062","121.50026702880859","124.27447509765625","129.05299377441406","114.1868896484375","113.41567230224609","119.64607238769531","112.62483215332031","116.14995574951172",NA,"111.60887908935547","118.46553802490234","108.23533630371094","103.74073028564453","108.92686462402344","109.75856018066406","106.71914672851562","112.02155303955078","109.28614044189453","108.03040313720703","101.39981842041016","107.90685272216797","108.72139739990234","110.902099609375","109.52801513671875","110.12741088867188","107.79156494140625","110.65660858154297","110.02423095703125","110.05583953857422","109.46839904785156","107.55913543701172","109.19167327880859","107.03602600097656","107.62797546386719",NA,"140.90216064453125","146.29508972167969","128.58134460449219","137.61668395996094","448.912353515625","132.54899597167969","121.55378723144531","120.27727508544922","130.04953002929688","122.65737915039062","123.73123931884766","135.62431335449219","109.06587219238281","197.66078186035156","127.08121490478516","120.92414855957031","124.24959564208984","133.74876403808594","153.00302124023438","199.76168823242188","133.43510437011719","105.18041229248047"
"360","1","1999","119.86408233642578","117.41930389404297","114.57611083984375","110.87757873535156","127.21105194091797","114.23068237304688","110.77008819580078","117.0565185546875","119.70674896240234","120.723876953125","142.94734191894531","117.21481323242188","116.09431457519531","115.75582122802734","106.23600006103516","118.95372772216797","108.50178527832031","116.68212890625","127.94867706298828","120.71102905273438","122.90186309814453","127.97967529296875","113.04158020019531","111.89453887939453","119.74398803710938","112.63719940185547","116.86991882324219",NA,"113.47533416748047","121.55339813232422","111.11151885986328","106.49729919433594","112.71946716308594","112.50323486328125","110.23867034912109","117.11472320556641","111.31600952148438","110.14905548095703","105.91152954101562","110.01799011230469","110.49224853515625","112.77513885498047","111.61042785644531","112.51206970214844","109.37975311279297","113.03485107421875","112.25102996826172","111.56441497802734","111.91486358642578","110.7279052734375","111.34804534912109","110.44729614257812","109.47022247314453",NA,"142.63758850097656","154.13229370117188","138.86862182617188","147.46540832519531","479.16952514648438","137.19912719726562","122.39654541015625","120.06134033203125","128.90309143066406","123.80775451660156","127.74105072021484","136.29283142089844","109.51869201660156","199.2376708984375","127.01792907714844","120.88483428955078","125.60866546630859","133.26779174804688","154.80867004394531","202.00860595703125","134.58052062988281","106.06813049316406"
"361","2","1999","121.28956604003906","118.18392944335938","115.47735595703125","112.02743530273438","128.7105712890625","114.9053955078125","111.24662017822266","118.97615051269531","121.03666687011719","121.52777862548828","143.74728393554688","118.10309600830078","117.01445770263672","115.74246978759766","106.89556884765625","119.25293731689453","110.30484008789062","116.78224182128906","127.78162384033203","120.85722351074219","122.75914001464844","127.85128784179688","113.24244689941406","112.77671051025391","119.31364440917969","113.32959747314453","118.62252807617188",NA,"115.94752502441406","125.79370880126953","115.59171295166016","110.84943389892578","117.9217529296875","116.79590606689453","115.31397247314453","123.55296325683594","115.11093902587891","113.94442749023438","112.23709106445312","113.74102783203125","114.02398681640625","116.56981658935547","115.55808258056641","116.48581695556641","112.98605346679688","117.02359008789062","116.36418914794922","114.96764373779297","116.16049194335938","116.03589630126953","115.82424926757812","116.20166778564453","113.15669250488281",NA,"144.21981811523438","159.02159118652344","148.46076965332031","147.09165954589844","490.50942993164062","142.39189147949219","123.54301452636719","120.63414001464844","127.44316101074219","123.79766845703125","131.00453186035156","137.24636840820312","111.19732666015625","200.59092712402344","126.09490203857422","121.02264404296875","126.68392944335938","133.64674377441406","156.8392333984375","203.79879760742188","135.94001770019531","107.87761688232422"
"362","3","1999","122.39696502685547","119.26665496826172","116.44718170166016","113.42843627929688","129.56761169433594","115.58843231201172","112.01853179931641","120.76520538330078","122.22254180908203","122.46208953857422","145.08280944824219","118.96075439453125","118.36316680908203","116.07759857177734","108.31683349609375","120.38013458251953","112.09722900390625","116.96247100830078","128.87661743164062","122.27323150634766","124.21404266357422","129.45089721679688","114.10508728027344","113.91488647460938","119.45289611816406","114.59120941162109","120.19696044921875",NA,"118.01911926269531","128.07717895507812","117.76934051513672","112.81535339355469","119.93295288085938","118.98915100097656","117.10835266113281","125.43248748779297","117.50045776367188","116.44715881347656","113.93930053710938","116.23590850830078","116.65692138671875","119.18386077880859","118.07347106933594","118.95484161376953","115.73282623291016","119.40338134765625","118.79433441162109","117.56671905517578","118.59893798828125","118.36131286621094","118.59037017822266","118.69154357910156","115.59603881835938",NA,"145.61810302734375","160.60581970214844","147.74441528320312","150.23980712890625","514.47100830078125","142.23190307617188","124.88137817382812","122.19557189941406","127.75200653076172","122.51314544677734","133.30735778808594","138.20933532714844","112.59075927734375","202.05633544921875","125.02413940429688","121.60612487792969","127.95194244384766","135.14517211914062","159.06098937988281","207.68074035644531","137.21392822265625","109.35848999023438"
"363","4","1999","121.53807830810547","118.70850372314453","116.33908081054688","112.70519256591797","129.2330322265625","114.97714996337891","112.35762786865234","121.77338409423828","122.41933441162109","121.68498992919922","143.79354858398438","118.79389953613281","117.73733520507812","115.26639556884766","108.53835296630859","119.45281219482422","112.97010803222656","115.54756164550781","127.25785064697266","121.25925445556641","122.81732940673828","128.13131713867188","112.90480041503906","113.11344909667969","119.15174102783203","114.28225708007812","119.62784576416016",NA,"118.88943481445312","128.07505798339844","118.07200622558594","112.92081451416016","119.91724395751953","119.50114440917969","116.66648864746094","124.41996765136719","118.22584533691406","117.53943634033203","113.2332763671875","117.37947845458984","117.96807098388672","120.16464996337891","119.12363433837891","119.95430755615234","117.23366546630859","120.14582061767578","119.62689971923828","119.060791015625","119.38585662841797","118.49341583251953","119.80178833007812","119.12058258056641","116.63588714599609",NA,"143.90980529785156","157.44122314453125","143.42225646972656","148.509765625","506.5009765625","138.88079833984375","124.27187347412109","121.8975830078125","125.35519409179688","119.46089172363281","133.29454040527344","136.61990356445312","112.84671783447266","198.029541015625","122.4591064453125","120.23179626464844","126.95272064208984","132.5126953125","157.51885986328125","205.32005310058594","135.32685852050781","110.24890899658203"
"364","5","1999","120.85787963867188","118.1881103515625","116.26924896240234","112.89310455322266","128.80801391601562","114.92636108398438","112.12665557861328","121.41619873046875","122.873291015625","120.98361968994141","142.67008972167969","118.29290771484375","117.11862945556641","114.48142242431641","108.36411285400391","118.53861999511719","112.96123504638672","114.43285369873047","125.80936431884766","120.11105346679688","121.63637542724609","126.73513793945312","112.13919067382812","112.92869567871094","118.01038360595703","113.53647613525391","119.12545776367188",NA,"118.79374694824219","127.67710876464844","118.01047515869141","112.89403533935547","119.87167358398438","119.44268035888672","116.54832458496094","124.03163146972656","118.16282653808594","117.65171051025391","113.29959106445312","117.50547027587891","118.06560516357422","120.23045349121094","119.2540283203125","119.97459411621094","117.47511291503906","120.08504486083984","119.77403259277344","119.28581237792969","119.45021820068359","118.49951934814453","120.10106658935547","119.36917877197266","116.79752349853516",NA,"142.48092651367188","155.23178100585938","143.64195251464844","142.12109375","498.12582397460938","138.18707275390625","123.22812652587891","120.70039367675781","123.38382720947266","118.17733001708984","132.28654479980469","135.51287841796875","112.56191253662109","196.76304626464844","121.01335906982422","119.0498046875","125.68367767333984","130.02876281738281","155.82009887695312","202.40084838867188","133.79574584960938","110.07925415039062"
"365","6","1999","121.89480590820312","118.44506072998047","116.22174072265625","112.68051910400391","129.03564453125","115.21090698242188","111.91736602783203","122.24657440185547","122.72707366943359","121.50592041015625","143.23579406738281","119.35248565673828","116.61925506591797","114.53353118896484","108.29219055175781","118.84635925292969","114.04381561279297","114.49253082275391","126.29396820068359","120.27736663818359","121.81501770019531","127.23234558105469","112.09496307373047","112.82717132568359","118.07416534423828","114.48160552978516","119.85838317871094",NA,"119.76705169677734","129.56576538085938","120.09275054931641","114.92184448242188","121.93363189697266","121.46288299560547","118.65036010742188","125.95706939697266","120.34506225585938","119.75505065917969","115.69490051269531","119.56430053710938","120.16580200195312","122.57135009765625","121.51157379150391","122.01966857910156","119.894775390625","122.08119964599609","122.05742645263672","121.52942657470703","121.64101409912109","121.13424682617188","122.77926635742188","122.16732025146484","119.0589599609375",NA,"143.7965087890625","154.87538146972656","146.22404479980469","133.56803894042969","507.03610229492188","139.97062683105469","124.20261383056641","120.86562347412109","124.26570892333984","119.571044921875","132.8880615234375","137.40780639648438","114.69504547119141","200.80470275878906","122.25798034667969","120.00079345703125","126.63941955566406","131.79075622558594","157.0421142578125","203.42863464355469","134.69100952148438","111.80760955810547"
